к Перечню действий локомотивных;;;
бригад по выявлению и устранению;;;
неисправностей на локомотивах;;;
при поездной и маневровой работе;;;
;;;
Порядок действий локомотивных бригад по выявлению и устранению неисправностей на электровозах ЭП20;;;
;;;
N;"Неисправность
(сообщение МПСУ)";Вероятная причина;Метод устранения
262;Безопасность;Крышевой разъединитель QS1 не может быть замкнут: включен выключатель SA51 ОТ ДЕПО.;Выключите выключатель SA51 ОТ ДЕПО. Повторите попытку включения.
263;Безопасность;Крышевой разъединитель QS2 не может быть замкнут: включен выключатель SA51 ОТ ДЕПО.;Выключите выключатель SA51 ОТ ДЕПО. Повторите попытку включения.
264;Безопасность;Авторегулирование запрещено: нет данных о скорости от систем БЛОК и БАРС.;"Проверьте, что автоматы SF55 БЛОК и SF73 БАРС включены, при необходимости включите. Проверьте наличие связи с БЛОК и БАРС на кадре ""Система управления"". Если связь не возобновилась, продолжить движение в режиме ручного управления."
265;Безопасность;Авторегулирование запрещено: не соответствует схема сбора разобщительных кранов.;"Режим авторегулирования доступен, если выполнено одно из условий:
- положение КрРШ соответствует движению ""составом/резервом"";
- несоответствие положений КрРШ скомпенсированы режимами ""Без ЭПК"", ""Нешт. Реж"", ""Без АСТ""."
266;Безопасность;Включение режима АВТОРЕГУЛИРОВАНИЕ доступно только из режима РУЧНОЕ УПРАВЛЕНИЕ.;Проверьте, что выключен SA52 Горячий режим, не активированы режимы МАНЕВРОВЫЙ или ГОРЯЧИЙ РЕЗЕРВ
267;Тяга и электроторможение;"Разбор тяги со стороны БУТП (MPU). Перед повторным заданием тяги произвести отпуск тормозов и нажать кнопку ""СБРОС"" на КМБ";"Произошел автоматический разбор режима ""Тяга"" системой управления тяговым приводом по причине выполнения одного из условий:
- применение прямодействующего тормоза при скорости движения более 30 км/ч;
- применение служебного торможения при скорости движения более 6 км/ч;
- активация экстренного торможения.
Повторное задание режима ""Тяга"" возможно только после реализации отпуска тормозов и сброса задания на КМБ."
268;Тяга и электроторможение;"Внимание! Необходимо нажать кнопку ""СБРОС"" на КМБ";"Для предотвращения срыва ЭПК нельзя допускать наличие задания на тягу во время стоянки в течение длительного времени. При останове локомотива необходимо производить сброс задания нажатием на кнопку ""СБРОС"" на КМБ."
269;Энергоснабжение вагонов;Отопление поезда не включено: включен QS4;"Внимание! Для включения отопления поезда разъединитель QS4 должен находится в положении разомкнут.
- необходимо перевести разъединитель QS4 в положение разземлено
- нажать клавишу ""ВОССТАНОВЛЕНИЕ ЗАЩИТЫ"""
270;Энергоснабжение вагонов;Внимание! Разъединитель Q2\Q3 не включен: не разомкнут контактор КМ1\КМ2;"Внимание! Для включения разъединителя Q2\Q3 необходимо выполнение условий:
- Q4 и QS4 разземлены;
- КМ1 и КМ2 разомкнуты;
- S63 включен;
- кабина определена."
271;Энергоснабжение вагонов;Внимание! Разъединитель Q2\Q3 не включен: не определена кабина;"Внимание! Для включения разъединителя Q2\Q3 необходимо выполнение условий:
- Q4 и QS4 разземлены;
- КМ1 и КМ2 разомкнуты;
- S63 включен;
- кабина определена."
272;Энергоснабжение вагонов;Отопление поезда не включено. QS4 включен;"Внимание! Для включения отопления поезда разъединитель QS4 должен находится в положении разомкнут
- необходимо перевести разъединитель QS4 в положение разземлено
- нажать клавишу ""ВОССТАНОВЛЕНИЕ ЗАЩИТЫ"""
273;Энергоснабжение вагонов;Разъединитель Q2/Q3 неисправен (не включается);"- Проверить, состояние автоматического выключателя SF113;
- Если автоматический выключатель SF113 разомкнут, перевести во включенное
состояние;
- Проверить, состояние автоматического выключателя SF118;
- Если автоматический выключатель SF118 разомкнут, перевести во включенное состояние;
- Нажать на клавишу ""ВОССТАНОВЛЕНИЕ
ЗАЩИТЫ"" и попытаться снова включить разъединитель Q2 или Q3 при помощи S63 ОТОПЛЕНИЕ ПОЕЗДА
- Если после вышеописанных действий разъединитель Q2 или Q3 не включается, то продолжить движение электровоза с отключенными цепями отопления"
274;Энергоснабжение вагонов;Разъединитель Q2/Q3 неисправен (не выключается);"- Проверить по кадру ЦЕПИ ОТОПЛЕНИЯ состояние контакторов КМ1, КМ2, разъединителей Q2\Q3;
- Перевести S63 ОТОПЛЕНИЕ ПОЕЗДА в положение ВЫКЛ и продолжить движение с включенными разъединителем Q2\Q3;
- в случае если контактор КМ1 или КМ2 не выключается при наличии КЗ в цепях отопления вызвать вспомогательный электровоз
- Нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ"
275;Энергоснабжение вагонов;Ошибка при включении отопления поезда. Контактор КМ1/КМ2 не включается;"Контактора КМ1\КМ2 не включен
- Проверить, состояние автоматического выключателя SF113;
- Если автоматический выключатель SF113 разомкнут, перевести во включенное состояние;
- Проверить, состояние автоматического выключателя SF118;
- Если автоматический выключатель SF118 разомкнут, перевести во включенное состояние;
- Нажать на клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ и попытаться снова включить контактор КМ1\КМ2
- Если после вышеописанных действий контактор КМ1\КМ2 не включается, то продолжить движение электровоза с отключенными цепями отопления"
276;Энергоснабжение вагонов;Ошибка при выключении отопления поезда. Контактор КМ1/КМ2 не отключается.;"- Проверить по кадру ""ЦЕПИ ОТОПЛЕНИЯ"" состояние контакторов КМ1, КМ2, разъединителей Q2\Q3;
- Разъединители Q2\Q3 при наличии КЗ в цепях отопления автоматичски отключены и заблокированы СУЭ при отключенном ГВ\БВ;
- Перевести S63 ОТОПЛЕНИЕ ПОЕЗДА в положение ВЫКЛ;
- Продолжить движение с отключенными цепями отопления поезда.
- в случае если разъединитель Q2\Q3 не выключается при наличии КЗ вызвать вспомогательный локомотив
- Нажать ВОССТАНОВЛЕНИЕ ЗАЩИТЫ"
